dataset,target,config,k,seed,f1
EAModelSet,Layer,GNN(FTLM(NL+NT+ET)),2,9,0.8448498758412407
EAModelSet,Layer,GNN(FTLM(NL+NT+ET)),3,0,0.8408759461135248
EAModelSet,Layer,GNN(FTLM(NL+NT+ET)),3,1,0.8493972747700519
EAModelSet,Layer,GNN(FTLM(NL+NT+ET)),3,2,0.8245620264881441
EAModelSet,Layer,GNN(FTLM(NL+NT+ET)),3,3,0.8199001954569052
EAModelSet,Layer,GNN(FTLM(NL+NT+ET)),3,4,0.8435929902033722
EAModelSet,Layer,GNN(FTLM(NL+NT+ET)),3,5,0.8414438588961329
EAModelSet,Layer,GNN(FTLM(NL+NT+ET)),3,6,0.8385419692861807
EAModelSet,Layer,GNN(FTLM(NL+NT+ET)),3,7,0.8413853476377021
EAModelSet,Layer,GNN(FTLM(NL+NT+ET)),3,8,0.8323948439263271
EAModelSet,Layer,GNN(FTLM(NL+NT+ET)),3,9,0.8258650559272789
EAModelSet,Type,LLM(NL),0,0,0.6383334514911968
EAModelSet,Type,LLM(NL),0,1,0.6302829130895061
EAModelSet,Type,LLM(NL),0,2,0.6235651867758889
EAModelSet,Type,LLM(NL),0,3,0.6450568107139327
EAModelSet,Type,LLM(NL),0,4,0.6393860137157783
EAModelSet,Type,LLM(NL),0,5,0.6440652853663281
EAModelSet,Type,LLM(NL),0,6,0.6301070505857407
EAModelSet,Type,LLM(NL),0,7,0.6334194120816334
EAModelSet,Type,LLM(NL),0,8,0.6300095697277983
EAModelSet,Type,LLM(NL),0,9,0.6311335813294195
EAModelSet,Type,LLM(NL),1,0,0.714954079177494
EAModelSet,Type,LLM(NL),1,1,0.7051702538366506
EAModelSet,Type,LLM(NL),1,2,0.7165606628882027
EAModelSet,Type,LLM(NL),1,3,0.7163975592541821
EAModelSet,Type,LLM(NL),1,4,0.733251609868801
EAModelSet,Type,LLM(NL),1,5,0.6990721095413319
EAModelSet,Type,LLM(NL),1,6,0.7218790237783504
EAModelSet,Type,LLM(NL),1,7,0.7121051203811157
EAModelSet,Type,LLM(NL),1,8,0.71285970269869
EAModelSet,Type,LLM(NL),1,9,0.6985013617809338
EAModelSet,Type,LLM(NL),2,0,0.7063980618727534
EAModelSet,Type,LLM(NL),2,1,0.7184319726344395
EAModelSet,Type,LLM(NL),2,2,0.7101752162798269
EAModelSet,Type,LLM(NL),2,3,0.7118105437041127
EAModelSet,Type,LLM(NL),2,4,0.7080928331939945
EAModelSet,Type,LLM(NL),2,5,0.7225456974698629
EAModelSet,Type,LLM(NL),2,6,0.7107852743295651
EAModelSet,Type,LLM(NL),2,7,0.6889958432751794
EAModelSet,Type,LLM(NL),2,8,0.7040792744952551
EAModelSet,Type,LLM(NL),2,9,0.6913120339291975
EAModelSet,Type,LLM(NL),3,0,0.6844856158450345
EAModelSet,Type,LLM(NL),3,1,0.7116988465022769
EAModelSet,Type,LLM(NL),3,2,0.7303355985010272
EAModelSet,Type,LLM(NL),3,3,0.7174711990613059
EAModelSet,Type,LLM(NL),3,4,0.7052745429259502
EAModelSet,Type,LLM(NL),3,5,0.7075930013179758
EAModelSet,Type,LLM(NL),3,6,0.7283061323025001
EAModelSet,Type,LLM(NL),3,7,0.7185762662339846
EAModelSet,Type,LLM(NL),3,8,0.7174799924156205
EAModelSet,Type,LLM(NL),3,9,0.7164653821116194
EAModelSet,Type,LLM(NL+NT),1,0,0.7283840026155535
EAModelSet,Type,LLM(NL+NT),1,1,0.736054056469438
EAModelSet,Type,LLM(NL+NT),1,2,0.7335256729735607
EAModelSet,Type,LLM(NL+NT),1,3,0.730157047000245
EAModelSet,Type,LLM(NL+NT),1,4,0.7175713164240999
EAModelSet,Type,LLM(NL+NT),1,5,0.7331110876490973
EAModelSet,Type,LLM(NL+NT),1,6,0.721157529220075
EAModelSet,Type,LLM(NL+NT),1,7,0.7389384567590047
EAModelSet,Type,LLM(NL+NT),1,8,0.7152894917827587
EAModelSet,Type,LLM(NL+NT),1,9,0.7266237902372441
EAModelSet,Type,LLM(NL+NT),2,0,0.7189264171370873
EAModelSet,Type,LLM(NL+NT),2,1,0.7057535444935586
EAModelSet,Type,LLM(NL+NT),2,2,0.7362197164385648
EAModelSet,Type,LLM(NL+NT),2,3,0.7336040676725955
EAModelSet,Type,LLM(NL+NT),2,4,0.7143641623839091
EAModelSet,Type,LLM(NL+NT),2,5,0.7267172116556452
EAModelSet,Type,LLM(NL+NT),2,6,0.7227867606967021
EAModelSet,Type,LLM(NL+NT),2,7,0.6928644053665474
EAModelSet,Type,LLM(NL+NT),2,8,0.7215039801627758
EAModelSet,Type,LLM(NL+NT),2,9,0.7183865592016675
EAModelSet,Type,LLM(NL+NT),3,0,0.7188321735347453
EAModelSet,Type,LLM(NL+NT),3,1,0.7072312508017282
EAModelSet,Type,LLM(NL+NT),3,2,0.7153065295377959
EAModelSet,Type,LLM(NL+NT),3,3,0.716217412366177
EAModelSet,Type,LLM(NL+NT),3,4,0.7298809421721232
EAModelSet,Type,LLM(NL+NT),3,5,0.7213442706039102
EAModelSet,Type,LLM(NL+NT),3,6,0.7179444496979733
EAModelSet,Type,LLM(NL+NT),3,7,0.7332896999791094
EAModelSet,Type,LLM(NL+NT),3,8,0.7124475207023635
EAModelSet,Type,LLM(NL+NT),3,9,0.7141056969512461
EAModelSet,Type,LLM(NL+NT+ET),1,0,0.7428324498866095
EAModelSet,Type,LLM(NL+NT+ET),1,1,0.7766910584628361
EAModelSet,Type,LLM(NL+NT+ET),1,2,0.7706433236819443
EAModelSet,Type,LLM(NL+NT+ET),1,3,0.7701684804451171
EAModelSet,Type,LLM(NL+NT+ET),1,4,0.7676889844644694
EAModelSet,Type,LLM(NL+NT+ET),1,5,0.7621014858766365
EAModelSet,Type,LLM(NL+NT+ET),1,6,0.7631548893918233
EAModelSet,Type,LLM(NL+NT+ET),1,7,0.758479934097327
EAModelSet,Type,LLM(NL+NT+ET),1,8,0.7589639957427705
EAModelSet,Type,LLM(NL+NT+ET),1,9,0.7615430361171369
EAModelSet,Type,LLM(NL+NT+ET),2,0,0.7621182951156378
EAModelSet,Type,LLM(NL+NT+ET),2,1,0.7525568790180808
EAModelSet,Type,LLM(NL+NT+ET),2,2,0.7464153987424114
EAModelSet,Type,LLM(NL+NT+ET),2,3,0.741206079495566
EAModelSet,Type,LLM(NL+NT+ET),2,4,0.7406500151258834
EAModelSet,Type,LLM(NL+NT+ET),2,5,0.7630270501117249
