dataset,target,model,k,seed,f1
EAModelSet,Type,Worde4MDE+RF,1,9,0.4735924785523481
EAModelSet,Type,CMGPT,1,0,0.509674319156349
EAModelSet,Type,CMGPT,1,1,0.526053588847832
EAModelSet,Type,CMGPT,1,2,0.5246995984334598
EAModelSet,Type,CMGPT,1,3,0.5248318595764759
EAModelSet,Type,CMGPT,1,4,0.5202452454023652
EAModelSet,Type,CMGPT,1,5,0.5222790760631286
EAModelSet,Type,CMGPT,1,6,0.5205291069333877
EAModelSet,Type,CMGPT,1,7,0.5300068797577442
EAModelSet,Type,CMGPT,1,8,0.5162471215906502
EAModelSet,Type,CMGPT,1,9,0.5225242684149922
EAModelSet,Type,FTLM,1,0,0.7595592610444007
EAModelSet,Type,FTLM,1,1,0.7740574090635413
EAModelSet,Type,FTLM,1,2,0.7647341113409016
EAModelSet,Type,FTLM,1,3,0.759902997198553
EAModelSet,Type,FTLM,1,4,0.766361879706546
EAModelSet,Type,FTLM,1,5,0.7650611828687606
EAModelSet,Type,FTLM,1,6,0.771878348565904
EAModelSet,Type,FTLM,1,7,0.7660651321243301
EAModelSet,Type,FTLM,1,8,0.7789391069555126
EAModelSet,Type,FTLM,1,9,0.7744461704633311
OntoUML,Stereotype,TF-IDF+SVM,1,0,0.18450798309012362
OntoUML,Stereotype,TF-IDF+SVM,1,1,0.18002588429753477
OntoUML,Stereotype,TF-IDF+SVM,1,2,0.19559066904109884
OntoUML,Stereotype,TF-IDF+SVM,1,3,0.1911995483886713
OntoUML,Stereotype,TF-IDF+SVM,1,4,0.18386517240876551
OntoUML,Stereotype,TF-IDF+SVM,1,5,0.16727658162140882
OntoUML,Stereotype,TF-IDF+SVM,1,6,0.1630115138919152
OntoUML,Stereotype,TF-IDF+SVM,1,7,0.1891791026083417
OntoUML,Stereotype,TF-IDF+SVM,1,8,0.19425010718554428
OntoUML,Stereotype,TF-IDF+SVM,1,9,0.19464122578510515
OntoUML,Stereotype,GloVe+SVM,1,0,0.5095539388384337
OntoUML,Stereotype,GloVe+SVM,1,1,0.537448126109318
OntoUML,Stereotype,GloVe+SVM,1,2,0.5185901122131807
OntoUML,Stereotype,GloVe+SVM,1,3,0.5296610582612857
OntoUML,Stereotype,GloVe+SVM,1,4,0.53000029649602
OntoUML,Stereotype,GloVe+SVM,1,5,0.5153701627731634
OntoUML,Stereotype,GloVe+SVM,1,6,0.5179040994121981
OntoUML,Stereotype,GloVe+SVM,1,7,0.5001233670813179
OntoUML,Stereotype,GloVe+SVM,1,8,0.5139991134510481
OntoUML,Stereotype,GloVe+SVM,1,9,0.5033694952901551
OntoUML,Stereotype,GloVe+RF,1,0,0.5212482855776147
OntoUML,Stereotype,GloVe+RF,1,1,0.5167370029927396
OntoUML,Stereotype,GloVe+RF,1,2,0.5269686248288717
OntoUML,Stereotype,GloVe+RF,1,3,0.5202785067742718
OntoUML,Stereotype,GloVe+RF,1,4,0.5083829073766107
OntoUML,Stereotype,GloVe+RF,1,5,0.5201544127889802
OntoUML,Stereotype,GloVe+RF,1,6,0.5113148986350013
OntoUML,Stereotype,GloVe+RF,1,7,0.5233087402876173
OntoUML,Stereotype,GloVe+RF,1,8,0.5197844755894729
OntoUML,Stereotype,GloVe+RF,1,9,0.5041371212588688
OntoUML,Stereotype,Worde4MDE+SVM,1,0,0.596026388955958
OntoUML,Stereotype,Worde4MDE+SVM,1,1,0.5966640085610104
OntoUML,Stereotype,Worde4MDE+SVM,1,2,0.5923074685729232
OntoUML,Stereotype,Worde4MDE+SVM,1,3,0.6067388789119738
OntoUML,Stereotype,Worde4MDE+SVM,1,4,0.6165566108084407
OntoUML,Stereotype,Worde4MDE+SVM,1,5,0.5915871954434038
OntoUML,Stereotype,Worde4MDE+SVM,1,6,0.5917916182031967
OntoUML,Stereotype,Worde4MDE+SVM,1,7,0.5690232418654507
OntoUML,Stereotype,Worde4MDE+SVM,1,8,0.5944529671179937
OntoUML,Stereotype,Worde4MDE+SVM,1,9,0.5907658075979051
OntoUML,Stereotype,Worde4MDE+RF,1,0,0.5110658502294212
OntoUML,Stereotype,Worde4MDE+RF,1,1,0.5404619240305342
OntoUML,Stereotype,Worde4MDE+RF,1,2,0.54409215845742
OntoUML,Stereotype,Worde4MDE+RF,1,3,0.5281907191537308
OntoUML,Stereotype,Worde4MDE+RF,1,4,0.5325286520488793
OntoUML,Stereotype,Worde4MDE+RF,1,5,0.5254021942467341
OntoUML,Stereotype,Worde4MDE+RF,1,6,0.5461505055017369
OntoUML,Stereotype,Worde4MDE+RF,1,7,0.5187906721025108
OntoUML,Stereotype,Worde4MDE+RF,1,8,0.5332408645147415
OntoUML,Stereotype,Worde4MDE+RF,1,9,0.5604128660134473
OntoUML,Stereotype,CMGPT,1,0,0.4056190552081424
OntoUML,Stereotype,CMGPT,1,1,0.4106151822193299
OntoUML,Stereotype,CMGPT,1,2,0.403240150476696
OntoUML,Stereotype,CMGPT,1,3,0.3909068895991969
OntoUML,Stereotype,CMGPT,1,4,0.4046079445533645
OntoUML,Stereotype,CMGPT,1,5,0.40987768411451814
OntoUML,Stereotype,CMGPT,1,6,0.39272830032240663
OntoUML,Stereotype,CMGPT,1,7,0.409099366993599
OntoUML,Stereotype,CMGPT,1,8,0.41993892034805064
OntoUML,Stereotype,CMGPT,1,9,0.41783627281247904
OntoUML,Stereotype,FTLM,1,0,0.7361725472003087
OntoUML,Stereotype,FTLM,1,1,0.7422472041094528
OntoUML,Stereotype,FTLM,1,2,0.7358632067778385
OntoUML,Stereotype,FTLM,1,3,0.7627115520623791
OntoUML,Stereotype,FTLM,1,4,0.7581032935077602
OntoUML,Stereotype,FTLM,1,5,0.7590314056067076
OntoUML,Stereotype,FTLM,1,6,0.7432164969442313
OntoUML,Stereotype,FTLM,1,7,0.7403333404039957
OntoUML,Stereotype,FTLM,1,8,0.7527690773196728
OntoUML,Stereotype,FTLM,1,9,0.7530098365489903
Ecore-555,Abstract,TF-IDF+SVM,1,0,0.7377489590680376
Ecore-555,Abstract,TF-IDF+SVM,1,1,0.7497061106243891
Ecore-555,Abstract,TF-IDF+SVM,1,2,0.7557348166086123
Ecore-555,Abstract,TF-IDF+SVM,1,3,0.7507361893430805
Ecore-555,Abstract,TF-IDF+SVM,1,4,0.7355274455598082
Ecore-555,Abstract,TF-IDF+SVM,1,5,0.7226480540618403
Ecore-555,Abstract,TF-IDF+SVM,1,6,0.7448934406353216
Ecore-555,Abstract,TF-IDF+SVM,1,7,0.7499722589318739
Ecore-555,Abstract,TF-IDF+SVM,1,8,0.7448789943974714
Ecore-555,Abstract,TF-IDF+SVM,1,9,0.7428597983613399
Ecore-555,Abstract,GloVe+SVM,1,0,0.43270265764334537
Ecore-555,Abstract,GloVe+SVM,1,1,0.44958765613978735
Ecore-555,Abstract,GloVe+SVM,1,2,0.44037150386147383
Ecore-555,Abstract,GloVe+SVM,1,3,0.442478646904512
Ecore-555,Abstract,GloVe+SVM,1,4,0.42934171656255243
Ecore-555,Abstract,GloVe+SVM,1,5,0.43355493991982363
Ecore-555,Abstract,GloVe+SVM,1,6,0.44296557473577536
Ecore-555,Abstract,GloVe+SVM,1,7,0.42893498596614227
Ecore-555,Abstract,GloVe+SVM,1,8,0.42588841229426183
Ecore-555,Abstract,GloVe+SVM,1,9,0.43705018797965584
Ecore-555,Abstract,GloVe+RF,1,0,0.8144116492703968
Ecore-555,Abstract,GloVe+RF,1,1,0.8022914213391312
Ecore-555,Abstract,GloVe+RF,1,2,0.8175151940987329
Ecore-555,Abstract,GloVe+RF,1,3,0.798421728154413
Ecore-555,Abstract,GloVe+RF,1,4,0.7962792156697017
Ecore-555,Abstract,GloVe+RF,1,5,0.7832931513837363
Ecore-555,Abstract,GloVe+RF,1,6,0.7930853054436536
Ecore-555,Abstract,GloVe+RF,1,7,0.817222204845984
Ecore-555,Abstract,GloVe+RF,1,8,0.8039306032700183
Ecore-555,Abstract,GloVe+RF,1,9,0.8087974532268757
Ecore-555,Abstract,Worde4MDE+SVM,1,0,0.5564611739858318
Ecore-555,Abstract,Worde4MDE+SVM,1,1,0.5478854547203692
Ecore-555,Abstract,Worde4MDE+SVM,1,2,0.5455423281612373
Ecore-555,Abstract,Worde4MDE+SVM,1,3,0.5494302028781831
Ecore-555,Abstract,Worde4MDE+SVM,1,4,0.5560556250868016
Ecore-555,Abstract,Worde4MDE+SVM,1,5,0.5534943945620943
Ecore-555,Abstract,Worde4MDE+SVM,1,6,0.5539036665412033
Ecore-555,Abstract,Worde4MDE+SVM,1,7,0.5498497301050418
Ecore-555,Abstract,Worde4MDE+SVM,1,8,0.538760792975711
Ecore-555,Abstract,Worde4MDE+SVM,1,9,0.54486085495054
Ecore-555,Abstract,Worde4MDE+RF,1,0,0.776702563085693
Ecore-555,Abstract,Worde4MDE+RF,1,1,0.8000558943867412
Ecore-555,Abstract,Worde4MDE+RF,1,2,0.7627754729891422
Ecore-555,Abstract,Worde4MDE+RF,1,3,0.7853856330151884
Ecore-555,Abstract,Worde4MDE+RF,1,4,0.8166465384228581
Ecore-555,Abstract,Worde4MDE+RF,1,5,0.7839015853971476
